filecode,inputLine,tradeLine,SecType,Symbol,Underlying,Expiry,Strike,O_Type,Trade_Time,Lot_Time,Exchange,Q,Price,Proceeds,CommTax,Basis,Realized_PL,Codes,OC,Type1,Account
06C,1,4,S,AAPL,AAPL,,,,2012-03-16 15:16:11,2012-03-16 15:16:11,-,100,584.61,-58461,-0.51,58461.51,0,O,O,S,IB9048
06C,2,4,S,AAPL,AAPL,,,,2012-03-16 15:16:11,2012-03-16 15:16:11,ARCA,100,584.61,-58461,-0.51,58461.51,0,O,O,,IB9048
06C,3,5,S,AAPL,AAPL,,,,2012-03-16 15:18:15,2012-03-16 15:18:15,-,100,584.6,-58460,-0.51,58460.51,0,O,O,S,IB9048
06C,4,5,S,AAPL,AAPL,,,,2012-03-16 15:18:15,2012-03-16 15:18:15,ARCA,100,584.6,-58460,-0.51,58460.51,0,O,O,,IB9048
06C,5,6,S,AAPL,AAPL,,,,2012-03-16 15:47:35,2012-03-16 15:47:35,-,200,584.6,-116920,-0.32,116920.32,0,P;O,O,S,IB9048
06C,6,6,S,AAPL,AAPL,,,,2012-03-16 15:47:35,2012-03-16 15:47:35,ARCA,165,584.6,-96459,-0.39,96459.39,0,P;O,O,,IB9048
06C,7,6,S,AAPL,AAPL,,,,2012-03-16 15:47:35,2012-03-16 15:47:35,ARCA,35,584.6,-20461,0.07,20460.93,0,P;O,O,,IB9048
06C,8,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 16:20:00,-,-200,555,111000,-2,-116922.02,0,A;ML;C,C,S,IB9048
06C,9,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 16:20:00,--,-200,555,111000,-2,-116922.02,0,A;ML;C,C,,IB9048
06C,10,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:16:11,,100,584.615106,,,58461.51,-2724.83,ST,A,,IB9048
06C,11,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:18:15,,100,584.605106,,,58460.51,-2723.83,ST,A,,IB9048
06C,12,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,100,,,,,2724.83,ST,W,,IB9048
06C,13,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,65,,,,,1770.49,ST,W,,IB9048
06C,14,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,35,,,,,953.34,ST,W,,IB9048
06C,15,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 16:20:00,-,-200,570,114000,-2.05,-122368.99,-7312.51,A;ML;C,C,S,IB9048
06C,16,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 16:20:00,--,-200,570,114000,-2.05,-122368.99,-7312.51,A;ML;C,C,,IB9048
06C,17,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,100,611.85068,,,61185.07,-3656.83,ST,A,,IB9048
06C,18,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,65,611.84068,,,39769.64,-2376.29,ST,A,,IB9048
06C,19,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,35,611.836434,,,21414.28,-1279.39,ST,A,,IB9048
06C,20,9,S,AAPL,AAPL,,,,2012-10-19 15:00:26,2012-10-19 15:00:26,-,100,614.54,-61454,-0.82,61454.82,0,O,O,S,IB9048
06C,21,9,S,AAPL,AAPL,,,,2012-10-19 15:00:26,2012-10-19 15:00:26,ISE,100,614.54,-61454,-0.82,61454.82,0,O,O,,IB9048
06C,22,10,S,AAPL,AAPL,,,,2012-12-31 17:18:42,2012-12-31 17:18:42,-,-400,532.7,213080,-5.41,-163241.3,49833.28,P;C,C,S,IB9048
06C,23,10,S,AAPL,AAPL,,,,2012-12-31 17:18:42,2012-12-31 17:18:42,ARCA,-133,532.7,70849.1,-2.03,-53859.16,16987.9,P;C,C,,IB9048
06C,24,10,S,AAPL,AAPL,,,,2012-12-31 17:18:42,2011-10-19 00:00:00,,100,403.400206,,,40340.02,12928.45,LT,A,,IB9048
06C,25,10,S,AAPL,AAPL,,,,2012-12-31 17:18:42,2011-11-18 00:00:00,,33,409.67094,,,13519.14,4059.45,LT,A,,IB9048
06C,26,10,S,AAPL,AAPL,,,,2012-12-31 17:31:27,2012-12-31 17:31:27,ARCA,-267,532.7,142230.9,-3.38,-109382.14,32845.38,P;C,C,,IB9048
06C,27,10,S,AAPL,AAPL,,,,2012-12-31 17:31:27,2011-11-18 00:00:00,,267,409.67094,,,109382.14,32845.38,LT,A,,IB9048
06C,28,178,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-18 13:31:17,2012-01-18 13:31:17,-,5,11.71,-5855,-3.62,5858.62,0,P;O,O,S,IB9048
